projeto,proponente,valor_autorizado,valor_captado,patrocinador,fonte_url,fonte_pagina,linha_arquivo,id_captado,chave_proponente,casamento,numero_processo,processos_candidatos,ciclos_habilitacao,ciclo_habilitacao_min,numero_processo_secundario,ciclo_habilitacao_min_secundario,razao_captado,captacao,n_patrocinadores,n_termos,natureza_rotulo
97ª Festa de São Pedro - Edição 2025,Colônia de Pescadores e Aquicultores Z-5 Maria Ortiz,500000.0,500000.0,REALMAR DISTRIBUIDORA LTDA; Kuruma Veiculos S.A.,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,12,C25-11,colonia de pescadores e aquicultores z 5 maria ortiz,casado,2025-SXX99,,2025.0,2025.0,,,1.0,total,2,2,Associação/instituto/fundação e outras entidades associativas
Festival Nacional de Teatro Cidade de Vitória - 20º Edição,Associação Cultural Circense e Ambiental Uma Floresta,500000.0,500000.0,Transportadora Associada de Gás - TAG,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1,13,C25-12,associacao cultural circense e ambiental uma floresta,sem_correspondencia,,,,,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
47ª Festa da Polenta,Associação Festa da Polenta - AFEPOL,500000.0,500000.0,ITAPOA SUPERMERCADO LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,14,C25-13,associacao festa da polenta afepol,casado,2025-QW9S1,,2025.0,2025.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
l FESTIVAL INTERNACIONAL DE JAZZ E BOSSA DE SANTA TERESA – 12ª EDIÇÃO,ROTA SERVICE LTDA,500000.0,500000.0,Kurumá Veiculos S.A; Realmar Distribuidora Ltda,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,15,C25-14,rota service,sem_correspondencia,,,,,,,1.0,total,2,2,Empresa (sufixo societário explícito)
10º Festival Nacional de Cinema Ambiental do Espírito Santo - CINE.EMA,Caju Produções LTDA ME,500000.0,480000.0,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,16,C25-15,caju producoes,casado,2023-9RT9Q,,2024.0,2024.0,,,0.96,parcial,1,1,Empresa (sufixo societário explícito)
73º Encontro Nacional de Folias de Reis - Muqui-ES - 2024,ASSOCIACAO COMERCIAL E EMPRESARIAL DE MUQUI - ACE MUQUI,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,17,C25-16,associacao comercial e empresarial de muqui ace muqui,casado,2023-1FDSB,,2024.0,2024.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
Roda de Boteco 2025,Conexxo Serviços e Gestão de Eventos,500000.0,500000.0,AMBEV S.A. CDD VITÓRIA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,18,C25-17,conexxo servicos e gestao de eventos,sem_correspondencia,,,,,,,1.0,total,1,1,Empresa (sufixo societário explícito)
13ª ITALIA UNITA – Festa da Imigração Italiana de Aracruz - Município de Guaraná,(Em análise na SEFAZ) Secretariado dos Imigrantes Friulanos de Aracruz-ES,426123.0,356135.99,Imetame Metalmecãnica LTDA; Comercial Devens LTDA; Comercial Devens LTDA; Oriundi Supermercados LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,19,C25-18,secretariado dos imigrantes friulanos de aracruz es,casado,2025-RC8N2,,2025.0,2025.0,,,0.8357586659250967,parcial,3,4,Associação/instituto/fundação e outras entidades associativas
MAIS CULTURA NAS ESCOLAS,"ES Práticas Corporais, Culturais, Esportivas e de Saúde LTDA",499896.0,499896.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,20,C25-19,es praticas corporais culturais esportivas e de saude,ambiguo,,2022-JJS7Q;2024-1V0QR,,,2024-1V0QR,2024.0,1.0,total,1,1,Empresa (sufixo societário explícito)
A Fantástica Carpintaria - Programa Educativo,CIDADE QUINTAL SERVIÇOS DE DESIGN E ARTE URBANA LTDA,500000.0,500000.0,VD Comercio de Veiculos LTDA; VD Comercio de Veiculos LTDA; VM Comercio de Automoveis LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,21,C25-20,cidade quintal servicos de design e arte urbana,casado,2024-2C95T,,2024.0,2024.0,,,1.0,total,2,3,Empresa (sufixo societário explícito)
MÚSICA E ARTES NA CAPITAL VITÓRIA ES,ASSOCIAÇÃO ALEF BET,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,22,C25-21,associacao alef bet,ambiguo,,2022-87D66;2024-7862T,,,2024-7862T,2024.0,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
Musicalização Agrícola,Instituto Três Pontões de Ação Social e Cultural,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,23,C25-22,instituto tres pontoes de acao social e cultural,casado,2024-VM90J,,2024.0,2024.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
Núcleo de Formação de Sanfona e Viola de São Pedro do Itabapoana - Ciclo II,Associação dos Moradores da Comunidade de São Pedro do Itabapoana,388322.4,330000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,24,C25-23,associacao dos moradores da comunidade de sao pedro do itabapoana,sem_correspondencia,,,,,,,0.849809333687678,parcial,1,1,Associação/instituto/fundação e outras entidades associativas
ESCOLA DE MÚSICA TOCANDO EM FRENTE,Programa de Promoção e Assistência Social,499560.0,499560.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,25,C25-24,programa de promocao e assistencia social,ambiguo,,2022-BFTK4;2023-42TC3,,,2023-42TC3,2023.0,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
A DANÇA: UNIVERSO EM EXPANSÃO,Estúdio de Dança Ballet Plié,136397.0,136397.0,Orletti Veículos e Peças LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,26,C25-25,estudio de danca ballet plie,casado,2023-0J1G1,,2024.0,2024.0,,,1.0,total,1,1,"Empresa provável (termo comercial, sem sufixo)"
"Projeto Raízes da Aldeia: Cultura, Artesanato e Resgate","Associação Amigos da Justiça, Cidadania, Educação e Arte",499949.47,250000.0,VM Comercio de Automoveis LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,27,C25-26,associacao amigos da justica cidadania educacao e arte,casado,2023-PCDF2,,2024.0,2024.0,,,0.500050535107078,parcial,1,1,Associação/instituto/fundação e outras entidades associativas
Corais das Montanhas,INSTITUTO TRÊS PONTÕES DE AÇÃO SOCIAL E CULTURAL - INSTITUTO CULTURAL DAS MONTANHAS,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,28,C25-27,instituto tres pontoes de acao social e cultural,casado,2024-B7ZFZ,,2024.0,2024.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura","ASSOCIACAO AMIGOS DA JUSTICA CIDADANIA, EDUCACAO E ARTE",499999.0,499999.0,Kuruma Veiculos S.A; VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,29,C25-28,associacao amigos da justica cidadania educacao e arte,casado,2024-WCJ53,,2024.0,2024.0,,,1.0,total,2,2,Associação/instituto/fundação e outras entidades associativas
Programa de Residência do Mosteiro Zen Morro da Vargem 2023,MOSTEIRO ZEN MORRO DA VARGEM-MZMV,499955.2,499955.2,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,30,C25-29,mosteiro zen morro da vargem mzmv,casado,2022-W21MB,,2023.0,2023.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
TORNANDO IDEIAS REALIDADE,ALPHA EMPREENDIMENTOS LTDA - GALPÃO DE IDEIAS,390000.0,284192.8,Realmar Distribuidora Ltda; Realmar Distribuidora Ltda; Realmar Distribuidora Ltda; Kubit Exportação e Importação de Café Ltda,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,31,C25-30,alpha empreendimentos,casado,2023-K1BQH,,2023.0,2023.0,,,0.7286994871794872,parcial,2,4,Empresa (sufixo societário explícito)
Oficinas de Formação Música Clássica,TONOBOOKS PRODUCOES LTDA,499620.0,499620.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,32,C25-31,tonobooks producoes,casado,2023-8Z0GK,,2023.0,2023.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
Restauração e revitalização do casarão Família Baptista,"CAEPES - Castiglioni Consultoria, Assessoria, Estdos e Pesquisas Educacionais Ltda",163797.08,163797.08,Comercial Devens LTDA; Oriundi Supermercados LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,33,C25-32,caepes castiglioni consultoria assessoria estdos e pesquisas educacionais,casado,2023-VM876,,2023.0,2023.0,,,1.0,total,2,2,Empresa (sufixo societário explícito)
Festival Manhágua,Caju Produções LTDA ME,500000.0,500000.0,VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,34,C25-33,caju producoes,casado,2023-JRW61,,2024.0,2024.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
'Filarmônica de Mulheres do Espírito Santo: música e representatividade”,Instituto Todos os Cantos -,440074.42,440074.42,VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,35,C25-34,instituto todos os cantos,casado,2023-XPZLT,,2024.0,2024.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
Orquestra Brasileira de Cantores Cegos - 3º Repertório,Associação Sociedade Cultura e Arte SOCA,500000.0,500000.0,PERFIL ALUMINIO DO BRASIL S/A; EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,36,C25-35,associacao sociedade cultura e arte soca,casado,2024-HT8QP,,2024.0,2024.0,,,1.0,total,2,2,Associação/instituto/fundação e outras entidades associativas
Circulação de Espetáculo - Igrejas Históricas Capixabas,PROGRAMA DE PROMOÇÃO E ASSISTÊNCIA SOCIAL,499543.0,499543.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,37,C25-36,programa de promocao e assistencia social,casado,2023-SCGXC,,2024.0,2024.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
Festival Delírio Tropical,PURI PRODUÇÕES E EVENTOS LTDA,500000.0,500000.0,Companhia de Gás do Espírito Santo – ES GÁS,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,38,C25-37,puri producoes e eventos,casado,2024-8XRF4,,2024.0,2024.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
Turma da Ação,VIANA PROJETOS CULTURAIS LTDA,497638.35,150000.0,VM Comercio de Automoveis LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,39,C25-38,viana projetos culturais,casado,2023-GNGTZ,,2024.0,2024.0,,,0.3014237146313181,parcial,1,1,Empresa (sufixo societário explícito)
Estúdio Escola de Animação,ATROM PRODUCOES E CONSULTORIA,499998.0,499998.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,40,C25-39,atrom producoes e consultoria,casado,2023-WMPXZ,,2023.0,2023.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
2ª Festa da Palavra,INSTITUTO MANGUERE,483000.0,483000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,41,C25-40,instituto manguere,casado,2024-X6HWG,,2024.0,2024.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
Crias.Lab 2024,PURI PRODUÇÕES E EVENTOS LTDA,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,42,C25-41,puri producoes e eventos,casado,2024-PM31K,,2024.0,2024.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
FESTIVAL ORIGRAFFES - 7° EDIÇÃO,iÁ Estúdio,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,43,C25-42,ia estudio,casado,2023-83NRF,,2024.0,2024.0,,,1.0,total,1,1,"Empresa provável (termo comercial, sem sufixo)"
Encontro das Chefs 2024,Conexxo Serviços e Gestão de Eventos LTDA.,489200.0,489200.0,Companhia de Gás do Espírito Santo – ES GÁS,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,44,C25-43,conexxo servicos e gestao de eventos,sem_correspondencia,,,,,,,1.0,total,1,1,Empresa (sufixo societário explícito)
4A Mostra CineMarias,Odoyá Arte e Cultura Produções LTDA,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,45,C25-44,odoya arte e cultura producoes,casado,2024-D8SGC,,2024.0,2024.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
A Paixão Segundo São João de J. S. Bach,Fernando Coelho Sabino XXXXXXXXXXX,161912.01,161912.01,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,46,C25-45,fernando coelho sabino,sem_correspondencia,,,,,,,1.0,total,1,1,MEI/empresário individual
FECSTA 7 - FESTIVAL DE CINEMA DE SANTA TERESA - ES,SATIRICA FILMES PRODUÇÕES LTDA,499900.0,264403.77,TUBOVAL COMERCIAL LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,47,C25-46,satirica filmes producoes,casado,2023-PRGRB,,2024.0,2024.0,,,0.528913322664533,parcial,1,1,Empresa (sufixo societário explícito)
Cidades 20-30,INSTITUTO CAPIXABA DE CIENCIAS E ADMINISTRACAO,493550.0,483550.0,VD Comercio de Veiculos LTDA; Kurumá Veiculos S.A; AMT Trading LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,48,C25-47,instituto capixaba de ciencias e administracao,casado,2023-5V13M,,2024.0,2024.0,,,0.9797386283051362,parcial,3,3,Associação/instituto/fundação e outras entidades associativas
Compondo na Rua,W/PAR & ASSOCIADOS LTDA,396394.83,396394.83,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,49,C25-48,wpar associados,casado,2023-LC19F,,2024.0,2024.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
"ENCANTANDO PESSOAS, CELEBRANDO A NATUREZA",PORTO E STEIN PRODUÇÕES LTDA-ME,316411.12,316411.12,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,50,C25-49,porto e stein producoes,casado,2022-HH970,,2023.0,2023.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
Laboratório dos Sonhos,Associação Aprender Cultura,491301.52,441301.51,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,51,C25-50,associacao aprender cultura,ambiguo,,2024-L44FD;2025-R38F3,,,,,0.898229482375711,parcial,1,1,Associação/instituto/fundação e outras entidades associativas
ENCONTRO DE CULTURAS POPULARES E TRADICIONAIS,ASSOCIAÇÃO ARTISTICA E FOLCLORICA AFRO BRASILEIRA,365748.0,365748.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,52,C25-51,associacao artistica e folclorica afro brasileira,casado,2023-1PRSJ,,2023.0,2023.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
2º FESTIVAL NACIONAL DE CAPOEIRA,LR PRODUÇÕES,281690.0,281690.0,Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,53,C25-52,lr producoes,casado,2024-0GZ3G,,2024.0,2024.0,,,1.0,total,1,1,Empresa (sufixo societário explícito)
Quintal do CSE: Intervenções Socioespaciais Identitárias,CIDADE QUINTAL SERVIÇOS DE DESIGN E ARTE URBANA LTDA,485087.7,250000.0,Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,54,C25-53,cidade quintal servicos de design e arte urbana,casado,2023-WQW4G,,2023.0,2023.0,,,0.5153707257471175,parcial,1,1,Empresa (sufixo societário explícito)
Tecer Folias,Associação Oficina da Vida - ONG,457000.0,457000.0,EV Comércio de Veículos LTDA; Kurumá Veiculos S.A; VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,55,C25-54,associacao oficina da vida ong,casado,2023-D2859,,2024.0,2024.0,,,1.0,total,3,3,Associação/instituto/fundação e outras entidades associativas
Orquestra de Câmara Infanto-juvenil João XXIII,Instituto João XXIII,297210.57,297210.57,Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,56,C25-55,instituto joao xxiii,casado,2023-CV6RH,,2024.0,2024.0,,,1.0,total,1,1,Associação/instituto/fundação e outras entidades associativas
A Escola vai ao Teatro Tratamento Técnico do Acervo Gráfico,SER OFICINA DE TEATRO LTDA/ME,136375.69,136375.69,Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,57,C25-56,ser oficina de teatro,sem_correspondencia,,,,,,,1.0,total,1,1,Empresa (sufixo societário explícito)
"Editorial do Jornal Correio Popular de Cariacica/ES: Inventário, Conservação e Digitalização.",Instituto de Pesquisa e Documentação Cariaciquense,499855.55,499855.55,EV Comércio de Veículos LTDA; VD Comercio de Veiculos LTDA; Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,58,C25-57,instituto de pesquisa e documentacao cariaciquense,sem_correspondencia,,,,,,,1.0,total,3,3,Associação/instituto/fundação e outras entidades associativas
Festival Batidas do Mundo,Caju Produções LTDA ME,494000.0,494000.0,VD Comercio de Veiculos LTDA; Kuruma Veiculos S.A DECOLORES; MÁRMORES E GRANITOS DO BRASIL S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,59,C25-58,caju producoes,casado,2023-BL62F,,2024.0,2024.0,,,1.0,total,3,3,Empresa (sufixo societário explícito)
Teatro vai à escola - De onde vem o dinheiro?,WB PRODUCOES ARTISTICAS E CULTURAIS LTDA,397364.0,200000.0,VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,60,C25-59,wb producoes artisticas e culturais,casado,2024-0QFT9,,2024.0,2024.0,,,0.503316858094845,parcial,1,1,Empresa (sufixo societário explícito)
Ecos Culturais do Convento,Instituto Brasileiro de Apoio ao Desenvolvimento Social e Econômico,480000.0,480000.0,VD Comercio de Veiculos LTDA; Kuruma Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,61,C25-60,instituto brasileiro de apoio ao desenvolvimento social e economico,casado,2023-TQ8C9,,2024.0,2024.0,,,1.0,total,2,2,Associação/instituto/fundação e outras entidades associativas
Mar Adentro,W/PAR & ASSOCIADOS LTDA,483748.28,20000.0,ELIT DISTRIBUIDORA DE TINTAS E REVESTIMENTOS LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,62,C25-61,wpar associados,casado,2023-ZZB43,,2024.0,2024.0,,,0.04134381625088155,parcial,1,1,Empresa (sufixo societário explícito)
