projeto,proponente,valor_autorizado,valor_captado,patrocinador,fonte_url,fonte_pagina,linha_arquivo,titulo_norm,id_captado,chave_proponente,casamento,numero_processo,processos_candidatos,ciclos_habilitacao,ciclo_habilitacao_min,numero_processo_secundario,ciclo_habilitacao_min_secundario
A DANÇA: UNIVERSO EM EXPANSÃO,Estúdio de Dança Ballet Plié,136397.0,136397.0,Orletti Veículos e Peças LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,26,a danca universo em expansao,C25-25,estudio de danca ballet plie,casado,2023-0J1G1,,2024,2024.0,,
"Projeto Raízes da Aldeia: Cultura, Artesanato e Resgate","Associação Amigos da Justiça, Cidadania, Educação e Arte",499949.47,250000.0,VM Comercio de Automoveis LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,27,projeto raizes da aldeia cultura artesanato e resgate,C25-26,associacao amigos da justica cidadania educacao e arte,casado,2023-PCDF2,,2024,2024.0,,
Corais das Montanhas,INSTITUTO TRÊS PONTÕES DE AÇÃO SOCIAL E CULTURAL - INSTITUTO CULTURAL DAS MONTANHAS,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,28,corais das montanhas,C25-27,instituto tres pontoes de acao social e cultural,casado,2024-B7ZFZ,,2024,2024.0,,
"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura","ASSOCIACAO AMIGOS DA JUSTICA CIDADANIA, EDUCACAO E ARTE",499999.0,499999.0,Kuruma Veiculos S.A; VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,29,projeto maos criativas artesanato sustentabilidade e cultura,C25-28,associacao amigos da justica cidadania educacao e arte,casado,2024-WCJ53,,2024,2024.0,,
Programa de Residência do Mosteiro Zen Morro da Vargem 2023,MOSTEIRO ZEN MORRO DA VARGEM-MZMV,499955.2,499955.2,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,30,programa de residencia do mosteiro zen morro da vargem 2023,C25-29,mosteiro zen morro da vargem mzmv,casado,2022-W21MB,,2023,2023.0,,
TORNANDO IDEIAS REALIDADE,ALPHA EMPREENDIMENTOS LTDA - GALPÃO DE IDEIAS,390000.0,284192.8,Realmar Distribuidora Ltda; Realmar Distribuidora Ltda; Realmar Distribuidora Ltda; Kubit Exportação e Importação de Café Ltda,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,31,tornando ideias realidade,C25-30,alpha empreendimentos,casado,2023-K1BQH,,2023,2023.0,,
Oficinas de Formação Música Clássica,TONOBOOKS PRODUCOES LTDA,499620.0,499620.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,32,oficinas de formacao musica classica,C25-31,tonobooks producoes,casado,2023-8Z0GK,,2023,2023.0,,
Restauração e revitalização do casarão Família Baptista,"CAEPES - Castiglioni Consultoria, Assessoria, Estdos e Pesquisas Educacionais Ltda",163797.08,163797.08,Comercial Devens LTDA; Oriundi Supermercados LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,33,restauracao e revitalizacao do casarao familia baptista,C25-32,caepes castiglioni consultoria assessoria estdos e pesquisas educacionais,casado,2023-VM876,,2023,2023.0,,
Festival Manhágua,Caju Produções LTDA ME,500000.0,500000.0,VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,34,festival manhagua,C25-33,caju producoes,casado,2023-JRW61,,2024,2024.0,,
'Filarmônica de Mulheres do Espírito Santo: música e representatividade”,Instituto Todos os Cantos -,440074.42,440074.42,VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,3,35,filarmonica de mulheres do espirito santo musica e representatividade,C25-34,instituto todos os cantos,casado,2023-XPZLT,,2024,2024.0,,
