id_captado,projeto,cnpj,patrocinador_nome,valor,cnpj_raiz
C25-14,l FESTIVAL INTERNACIONAL DE JAZZ E BOSSA DE SANTA TERESA – 12ª EDIÇÃO,03.845.717/0001-22,Realmar Distribuidora Ltda,250000.0,03845717
C25-15,10º Festival Nacional de Cinema Ambiental do Espírito Santo - CINE.EMA,06.248.349/0004-76,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,480000.0,06248349
C25-16,73º Encontro Nacional de Folias de Reis - Muqui-ES - 2024,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,500000.0,28152650
C25-17,Roda de Boteco 2025,07.526.557/0011-81,AMBEV S.A. CDD VITÓRIA,500000.0,07526557
C25-18,13ª ITALIA UNITA – Festa da Imigração Italiana de Aracruz - Município de Guaraná,31.790.710/0001-96,Imetame Metalmecãnica LTDA,150000.0,31790710
C25-18,13ª ITALIA UNITA – Festa da Imigração Italiana de Aracruz - Município de Guaraná,31.759.699/0003-63,Comercial Devens LTDA,61123.0,31759699
C25-18,13ª ITALIA UNITA – Festa da Imigração Italiana de Aracruz - Município de Guaraná,31.759.699/0001-00,Comercial Devens LTDA,65000.0,31759699
C25-18,13ª ITALIA UNITA – Festa da Imigração Italiana de Aracruz - Município de Guaraná,27.555.390/0001-12,Oriundi Supermercados LTDA,80012.99,27555390
C25-19,MAIS CULTURA NAS ESCOLAS,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,499896.0,28152650
C25-20,A Fantástica Carpintaria - Programa Educativo,39.786.983/0001-79,VD Comercio de Veiculos LTDA,250000.0,39786983
C25-20,A Fantástica Carpintaria - Programa Educativo,39.786.983/0004-11,VD Comercio de Veiculos LTDA,173000.0,39786983
C25-20,A Fantástica Carpintaria - Programa Educativo,11.277.336/0001-12,VM Comercio de Automoveis LTDA,77000.0,11277336
C25-21,MÚSICA E ARTES NA CAPITAL VITÓRIA ES,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,500000.0,28152650
C25-22,Musicalização Agrícola,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,500000.0,28152650
C25-23,Núcleo de Formação de Sanfona e Viola de São Pedro do Itabapoana - Ciclo II,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,330000.0,28152650
C25-24,ESCOLA DE MÚSICA TOCANDO EM FRENTE,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,499560.0,28152650
C25-25,A DANÇA: UNIVERSO EM EXPANSÃO,71.189.278/0005-20,Orletti Veículos e Peças LTDA,136397.0,71189278
C25-26,"Projeto Raízes da Aldeia: Cultura, Artesanato e Resgate",11.277.336/0001-12,VM Comercio de Automoveis LTDA,250000.0,11277336
C25-27,Corais das Montanhas,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,500000.0,28152650
C25-28,"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura",00.827.783/0001-81,Kuruma Veiculos S.A,250000.0,00827783
C25-28,"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura",39.786.983/0001-79,VD Comercio de Veiculos LTDA,249999.0,39786983
C25-29,Programa de Residência do Mosteiro Zen Morro da Vargem 2023,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,499955.2,28152650
C25-30,TORNANDO IDEIAS REALIDADE,03.845.717/0012-85,Realmar Distribuidora Ltda,75000.0,03845717
C25-30,TORNANDO IDEIAS REALIDADE,03.845.717/0025-08,Realmar Distribuidora Ltda,50000.0,03845717
C25-30,TORNANDO IDEIAS REALIDADE,03.845.717/0015-28,Realmar Distribuidora Ltda,70000.0,03845717
C25-30,TORNANDO IDEIAS REALIDADE,08.625.038/0001-61,Kubit Exportação e Importação de Café Ltda,89192.8,08625038
C25-31,Oficinas de Formação Música Clássica,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,499620.0,28152650
C25-32,Restauração e revitalização do casarão Família Baptista,31.759.699/0002-82,Comercial Devens LTDA,43797.08,31759699
C25-32,Restauração e revitalização do casarão Família Baptista,27.555.390/0005-46,Oriundi Supermercados LTDA,120000.0,27555390
C25-33,Festival Manhágua,39.786.983/0001-79,VD Comercio de Veiculos LTDA,500000.0,39786983
C25-34,'Filarmônica de Mulheres do Espírito Santo: música e representatividade”,39.786.983/0001-79,VD Comercio de Veiculos LTDA,440074.42,39786983
C25-35,Orquestra Brasileira de Cantores Cegos - 3º Repertório,05.069.718/0003-10,PERFIL ALUMINIO DO BRASIL S/A,100000.0,05069718
C25-35,Orquestra Brasileira de Cantores Cegos - 3º Repertório,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,400000.0,28152650
C25-36,Circulação de Espetáculo - Igrejas Históricas Capixabas,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,499543.0,28152650
C25-37,Festival Delírio Tropical,34.307.295/0001-65,Companhia de Gás do Espírito Santo – ES GÁS,500000.0,34307295
C25-38,Turma da Ação,11.277.336/0001-12,VM Comercio de Automoveis LTDA,150000.0,11277336
C25-39,Estúdio Escola de Animação,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,499998.0,28152650
C25-40,2ª Festa da Palavra,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,483000.0,28152650
C25-41,Crias.Lab 2024,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,500000.0,28152650
C25-42,FESTIVAL ORIGRAFFES - 7° EDIÇÃO,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,500000.0,28152650
C25-43,Encontro das Chefs 2024,34.307.295/0001-65,Companhia de Gás do Espírito Santo – ES GÁS,489200.0,34307295
C25-44,4A Mostra CineMarias,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,500000.0,28152650
C25-45,A Paixão Segundo São João de J. S. Bach,28.152.650/0001-71,EDP Espírito Santo Distribuição de Energia S.A,161912.01,28152650
C25-46,FECSTA 7 - FESTIVAL DE CINEMA DE SANTA TERESA - ES,31.731.169/0001-45,TUBOVAL COMERCIAL LTDA,264403.77,31731169
C25-47,Cidades 20-30,39.786.983/0012-21,VD Comercio de Veiculos LTDA,93550.0,39786983
