# Fonte: SICONFI/STN, API https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca (DCA-Anexo I-E, governos estaduais e DF), consulta 2026-09-23; valores declarados pelo ente; ente sem declaracao = ausente. Script: analise/03c_siconfi_cultura_icms.py
ano,uf,desp_total_emp,populacao,instituicao,f13_emp,f13_392_difusao_emp,desp_total_liq,f13_liq,f13_392_difusao_liq,desp_total_pag,f13_pag,f13_392_difusao_pag,f13_391_patrimonio_emp,f13_391_patrimonio_liq,f13_391_patrimonio_pag,f13_demais_emp,f13_demais_liq,f13_demais_pag,pct_f13_emp_na_despesa,f13_emp_per_capita,f13_liq_per_capita,rank_per_capita_emp
2025,AC,12582548150.86,829780,Governo do Estado do Acre,63631574.21,61449582.91,12095627923.79,62529085.9,60761773.61,11906466524.2,61615218.91,60228656.62,100000.0,100000.0,100000.0,80000.0,80000.0,80000.0,0.0050571294023342055,76.68487335197281,75.35622201065343,8.0
2025,AM,35515146125.4,3952262,Governo do Estado do Amazonas,659660446.37,516793905.98,34908824546.52,656701588.19,514240342.2,34573539246.9,649745300.23,507466165.35,35093.44,35093.44,35093.44,1791658.27,1791658.27,1791658.27,0.018574059755823977,166.9070639471776,166.1584146471059,2.0
2025,RR,8777398960.61,634805,Governo do Estado de Roraima,115098679.41,99616068.22,8387511865.39,106302761.85,91056302.38,8305858782.95,104079836.24,89331856.75,,,,539664.27,539664.27,519774.27,0.013113073693758704,181.31344178133443,167.45734808326966,1.0
2025,PA,48889815187.6,8442962,Governo do Estado do Pará,359479844.09,191381723.04,48726774346.87,358026577.8,191316164.96,48101228085.69,354404339.91,188965570.89,19033041.55,19033041.55,18251966.72,19581118.29,19569369.29,19206497.08,0.007352857496200464,42.577456121441735,42.40532858018312,12.0
2025,AP,11245306213.0,774268,Governo do Estado do Amapá,96153113.98,83022156.09,10630591948.68,82374675.4,70939915.41,10099001896.87,64170413.83,54477127.49,3184326.85,2430688.12,1797464.15,,,,0.008550510956192848,124.18582968687845,106.39039118238131,4.0
2025,TO,17341884251.55,1584306,Governo do Estado do Tocantins,22020006.36,11528789.47,16550943898.76,19876358.51,11212496.92,16294884638.82,19835755.75,11212496.92,2014281.27,598875.98,598875.98,54786.84,34833.77,34833.77,0.0012697585822043459,13.89883416461214,12.545782512974137,26.0
2025,MA,34281188784.45,6800605,Governo do Estado do Maranhão,536817276.82,488296470.81,33007920572.48,527068215.54,480550168.41,32837149876.36,516829643.94,470531912.91,4093027.5,3091254.45,3091254.45,409726.34,409726.34,379368.12,0.015659237495973335,78.9366941353012,77.50313619744126,7.0
2025,PI,28466282911.07,3270174,Governo do Estado do Piauí,105543590.59,80653351.82,27795682348.07,104903418.02,80121867.62,27376393500.04,100339979.43,76269064.58,983400.0,983400.0,983400.0,,,,0.003707670260979388,32.274610032982956,32.078849021489376,16.0
2025,CE,47515932417.14,8936431,Governo do Estado do Ceará,357675929.55,288845668.07,45657720589.22,338931528.92,271195567.88,45395251126.06,331596663.39,263974396.44,45861283.02,45443618.35,45405712.52,,,,0.007527494702408044,40.02447168785839,37.926945211125116,13.0
2025,RN,21209089460.89,3303953,Governo do Estado do Rio Grande do Norte,70160088.22,28968592.06,20696574215.2,52262528.74,20938688.16,19376746071.81,44973486.04,17757409.68,10770079.03,2279615.49,1617374.92,,,,0.003308019816191386,21.23519560356942,15.818181656942457,22.0
2025,PB,23101195583.33,4030961,Governo do Estado da Paraíba,109324652.47,77287139.69,22564333416.47,105660426.66,74351173.64,22467961951.7,104925903.27,73752363.4,,,,319433.48,304559.52,304559.52,0.00473242400271653,27.121237955415594,26.21221754812314,19.0
2025,PE,52495420632.58,9051113,Governo do Estado de Pernambuco,310456934.25,241919547.01,52495420632.58,310456934.25,241919547.01,51373795835.46,306914903.58,239133522.06,19131177.1,19131177.1,18906618.54,,,,0.005913981267488358,34.300415236225646,34.300415236225646,14.0
2025,AL,22141474745.94,3125254,Governo do Estado de Alagoas,76542422.32,63980128.67,19107334864.17,71754630.14,59697131.29,18657821985.18,56000452.54,44430307.67,193900.0,171200.0,171200.0,,,,0.0034569703779119454,24.49158446641457,22.959615487253195,20.0
2025,SE,17677625591.56,2211868,Governo do Estado de Sergipe,203942673.67,168509318.15,17255879333.07,192861840.89,158684875.57,17031698083.42,191447577.38,158224718.8,824434.47,600749.21,269811.15,,,,0.011536768476834937,92.20381761931543,87.1941005928021,5.0
