# Fonte: IBGE, Sistema de Informacoes e Indicadores Culturais (SIIC), API servicodados.ibge.gov.br/api/v1/pesquisas/10092, consulta 2026-09-23. valor = valor_publicado x multiplicador dos metadados. Script: analise/03b_ibge_cultura_es.py
indicador_id,indicador,descricao_ibge,unidade,multiplicador,localidade,ano,valor_publicado,valor
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,GO,2017,32612.0,32612.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,GO,2019,34490.0,34490.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,GO,2021,35619.0,35619.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MA,2007,7699.0,7699.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MA,2009,8842.0,8842.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MA,2011,11008.0,11008.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MA,2017,11502.0,11502.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MA,2019,14516.0,14516.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MA,2021,15048.0,15048.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MG,2007,108682.0,108682.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MG,2009,117316.0,117316.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MG,2011,126939.0,126939.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MG,2017,119583.0,119583.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MG,2019,126148.0,126148.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MG,2021,137772.0,137772.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MS,2007,10995.0,10995.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MS,2009,11913.0,11913.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MS,2011,12613.0,12613.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MS,2017,13184.0,13184.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MS,2019,14341.0,14341.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MS,2021,14775.0,14775.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MT,2007,11857.0,11857.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MT,2009,13104.0,13104.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MT,2011,14863.0,14863.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MT,2017,16075.0,16075.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MT,2019,18289.0,18289.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,MT,2021,19325.0,19325.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PA,2007,14447.0,14447.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PA,2009,15741.0,15741.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PA,2011,17374.0,17374.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PA,2017,18716.0,18716.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PA,2019,19189.0,19189.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PA,2021,19522.0,19522.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PB,2007,8065.0,8065.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PB,2009,8792.0,8792.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PB,2011,11209.0,11209.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PB,2017,12110.0,12110.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PB,2019,14139.0,14139.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PB,2021,14669.0,14669.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PE,2007,29396.0,29396.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PE,2009,33983.0,33983.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PE,2011,35716.0,35716.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PE,2017,34529.0,34529.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PE,2019,36935.0,36935.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PE,2021,39180.0,39180.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PI,2007,5844.0,5844.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PI,2009,6326.0,6326.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PI,2011,6834.0,6834.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PI,2017,8473.0,8473.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PI,2019,9227.0,9227.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PI,2021,11323.0,11323.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PR,2007,85300.0,85300.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PR,2009,94947.0,94947.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PR,2011,105385.0,105385.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PR,2017,95147.0,95147.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,PR,2019,101221.0,101221.0
