doi,crossref_status,openalex_status,titulo,ano,periodico,volume,numero,paginas,autores,tem_resumo
10.1162/REST_a_00049,200,200,Inference with “Difference in Differences” with a Small Number of Policy Changes,2011,Review of Economics and Statistics,93,1,113-125,Conley; Taber,True
10.1162/rest.90.3.414,200,200,Bootstrap-Based Improvements for Inference with Clustered Errors,2008,Review of Economics and Statistics,90,3,414-427,Cameron; Gelbach; Miller,True
10.1162/rest_a_00716,200,200,Optimal Design of Experiments in the Presence of Interference,2018,The Review of Economics and Statistics,100,5,844-860,Baird; Bohren; McIntosh; Özler,True
10.1162/rest_a_00759,200,200,Inference in Differences-in-Differences with Few Treated Groups and Heteroskedasticity,2019,The Review of Economics and Statistics,101,3,452-467,Ferman; Pinto,True
10.1177/0193841X9501900504,200,200,Minimum Detectable Effects,1995,Evaluation Review,19,5,547-556,Bloom,True
10.1177/0275074016651958,200,200,"Lights, Camera, but No Action? Tax and Economic Development Lessons From State Motion Picture Incentive Programs",2016,The American Review of Public Administration,48,1,33-51,Thom,True
10.1177/0899764013487800,200,200,Impact of Government Funding on Donations to Arts Organizations,2013,Nonprofit and Voluntary Sector Quarterly,43,5,910-925,Kim; Van Ryzin,True
10.1177/1536867X19830877,200,200,Fast and wild: Bootstrap inference in Stata using boottest,2019,The Stata Journal: Promoting communications on statistics and Stata,19,1,4-60,Roodman; Nielsen; MacKinnon; Webb,True
10.1177/1745691614551642,200,200,Beyond Power Calculations,2014,Perspectives on Psychological Science,9,6,641-651,Gelman; Carlin,True
10.1198/jasa.2009.ap08746,200,200,Synthetic Control Methods for Comparative Case Studies: Estimating the Effect of California’s Tobacco Control Program,2010,Journal of the American Statistical Association,105,490,493-505,Abadie; Diamond; Hainmueller,True
10.1257/000282803321455188,200,200,The Economic Costs of Conflict: A Case Study of the Basque Country,2003,American Economic Review,93,1,113-132,Abadie; Gardeazabal,True
10.1257/aer.20181169,200,200,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,2020,American Economic Review,110,9,2964-2996,de Chaisemartin; D’Haultfœuille,True
10.1257/aer.20190159,200,200,Synthetic Difference-in-Differences,2021,American Economic Review,111,12,4088-4118,Arkhangelsky; Athey; Hirshberg; Imbens; Wager,True
10.1257/jel.20191450,200,200,"Using Synthetic Controls: Feasibility, Data Requirements, and Methodological Aspects",2021,Journal of Economic Literature,59,2,391-425,Abadie,True
10.1257/jel.47.1.5,200,200,Recent Developments in the Econometrics of Program Evaluation,2009,Journal of Economic Literature,47,1,5-86,Imbens; Wooldridge,True
10.1257/jel.48.2.281,200,200,Regression Discontinuity Designs in Economics,2010,Journal of Economic Literature,48,2,281-355,Lee; Lemieux,True
10.1257/jep.31.2.3,200,200,The State of Applied Econometrics: Causality and Policy Evaluation,2017,Journal of Economic Perspectives,31,2,3-32,Athey; Imbens,True
10.1287/mnsc.2023.4928,200,200,Optimal Experimental Design for Staggered Rollouts,2024,Management Science,70,8,5317-5336,Xiong; Athey; Bayati; Imbens,True
10.1332/251569119X15675896589688,200,200,The political economy of Brazilian cultural policy: a case study of the Rouanet Law,2019,Journal of Public Finance and Public Choice,34,2,149-171,Dekker; Carolina Rodrigues,True
10.1348/000711010X502733,200,200,How to do a meta‐analysis,2010,British Journal of Mathematical and Statistical Psychology,63,3,665-694,Field; Gillett,True
10.1371/journal.pone.0132590,200,200,Estimating the Impacts of Local Policy Innovation: The Synthetic Control Method Applied to Tropical Deforestation,2015,PLOS ONE,10,7,e0132590,Sills; Herrera; Kirkpatrick; Brandão; Dickson; Hall; Pattanayak; Shoch; Vedoveto; Young; Pfaff,True
10.15210/norus.v1i1.2761,404,200,A Lei Rouanet e a construção do “mercado de patrocínios culturais”,2013,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),1,1,,Marcela Purini Belém; Júlio César Donadone,True
