id,url,status,content_type,bytes,sha256,coletado_utc,arquivo
doi:10.1016/j.jeconom.2022.04.001,https://api.crossref.org/works/10.1016/j.jeconom.2022.04.001,200,application/json,2198,0d4aa0154bb069604924e25c8addf3e0ff23bf01a3673fb532bcb9b8a4ec3057,2026-09-24T00:26:43Z,dados/fontes_web/doi/10.1016_j.jeconom.2022.04.001.json
doi:10.1016/j.jeconom.2023.03.008,https://api.crossref.org/works/10.1016/j.jeconom.2023.03.008,200,application/json,1630,f0e76aeb8bcc5c6535099e0d27ab819f12aff66d797939ea49dc05400441da64,2026-09-24T00:26:43Z,dados/fontes_web/doi/10.1016_j.jeconom.2023.03.008.json
doi:10.1016/j.jfineco.2022.01.004,https://api.crossref.org/works/10.1016/j.jfineco.2022.01.004,200,application/json,2193,6303e231badb301cc8a980292e45257f105be7f7806db2f9dfe10d124ee51ae1,2026-09-24T00:26:44Z,dados/fontes_web/doi/10.1016_j.jfineco.2022.01.004.json
doi:10.1016/j.jpubeco.2024.105123,https://api.crossref.org/works/10.1016/j.jpubeco.2024.105123,200,application/json,1702,4b9e4c59ce30d1b689e4e866ed1d9473ef5d8b04e5557ecec0038868da306803,2026-09-24T00:26:45Z,dados/fontes_web/doi/10.1016_j.jpubeco.2024.105123.json
doi:10.1016/j.regsciurbeco.2019.06.002,https://api.crossref.org/works/10.1016/j.regsciurbeco.2019.06.002,200,application/json,1380,dc851266fdd6869d47abbe566022fd61638ca76f415386eb4badc2c2d7d5a568,2026-09-24T00:26:46Z,dados/fontes_web/doi/10.1016_j.regsciurbeco.2019.06.002.json
doi:10.1017/9781009441896,https://api.crossref.org/works/10.1017/9781009441896,200,application/json,2825,68cfab48e4bc219aa794f2155d1a1cae40b930f75fd648ce89576b0111b9545d,2026-09-24T00:26:47Z,dados/fontes_web/doi/10.1017_9781009441896.json
doi:10.1017/9781108684606,https://api.crossref.org/works/10.1017/9781108684606,200,application/json,3158,004b7708fa8f13ff35c238e9a8328ee7bcd922337b12a86fbedd3c28593f4c52,2026-09-24T00:26:48Z,dados/fontes_web/doi/10.1017_9781108684606.json
doi:10.1023/A:1007653328733,https://api.crossref.org/works/10.1023/A:1007653328733,200,application/json,1410,fc6f3cc44f44fccff17959456331fc09dfb4f2ebf027688d1528f74b80a20d85,2026-09-24T00:26:48Z,dados/fontes_web/doi/10.1023_a_1007653328733.json
doi:10.1023/B:JCEC.0000009823.76834.64,https://api.crossref.org/works/10.1023/B:JCEC.0000009823.76834.64,200,application/json,1539,205cbdd183e83c5f24e53fd4836c97f01aa354390fdc99795bd74cbd5eb4de01,2026-09-24T00:26:49Z,dados/fontes_web/doi/10.1023_b_jcec.0000009823.76834.64.json
doi:10.1037/1082-989X.2.2.173,https://api.crossref.org/works/10.1037/1082-989X.2.2.173,200,application/json,1295,af64375616c8ed74c4b8540559128b8c56bb6f8307c04c8b66d94bb5c1d155d0,2026-09-24T00:26:50Z,dados/fontes_web/doi/10.1037_1082-989x.2.2.173.json
doi:10.1080/01621459.1996.10476902,https://api.crossref.org/works/10.1080/01621459.1996.10476902,200,application/json,2961,c7bcc3a1cf0a4d8ee0858b2c961df0e01975ea42c1f0ef538b58054158779bf8,2026-09-24T00:26:51Z,dados/fontes_web/doi/10.1080_01621459.1996.10476902.json
doi:10.1080/01621459.2019.1635480,https://api.crossref.org/works/10.1080/01621459.2019.1635480,200,application/json,2248,8abb86e4cc16cc05a0e4ff94559a6973da69626751e465f2030c17d5d9145fc8,2026-09-24T00:26:52Z,dados/fontes_web/doi/10.1080_01621459.2019.1635480.json
doi:10.1080/01621459.2021.1929245,https://api.crossref.org/works/10.1080/01621459.2021.1929245,200,application/json,2947,5a689e8be5fc0c0ea8db61d277623883a02d09d410d91c7ab8b79d0380cd7bbc,2026-09-24T00:26:52Z,dados/fontes_web/doi/10.1080_01621459.2021.1929245.json
doi:10.1080/07350015.2019.1668795,https://api.crossref.org/works/10.1080/07350015.2019.1668795,200,application/json,2477,1e7b227098a5ddc4282cca3631571af49cb95a549fe98eddc39cdf9593894fae,2026-09-24T00:26:53Z,dados/fontes_web/doi/10.1080_07350015.2019.1668795.json
doi:10.1080/10286632.2025.2454580,https://api.crossref.org/works/10.1080/10286632.2025.2454580,200,application/json,2676,d13cc0b511683a939fe92c85714fa5bcb8826866dd81298d15cdd2db0854f51a,2026-09-24T00:26:54Z,dados/fontes_web/doi/10.1080_10286632.2025.2454580.json
doi:10.1080/19439342.2016.1244555,https://api.crossref.org/works/10.1080/19439342.2016.1244555,200,application/json,2233,6b0e0835344aab2c6165b1513e8637f88e8578b2069f3aa84c23282d147f432a,2026-09-24T00:26:55Z,dados/fontes_web/doi/10.1080_19439342.2016.1244555.json
doi:10.1093/biomet/70.1.41,https://api.crossref.org/works/10.1093/biomet/70.1.41,200,application/json,2058,9fd340902f3fe348492a8d3b5a83a07581bd534786605247938a6244eac943ae,2026-09-24T00:26:56Z,dados/fontes_web/doi/10.1093_biomet_70.1.41.json
doi:10.1093/ectj/utac017,https://api.crossref.org/works/10.1093/ectj/utac017,200,application/json,2793,60814887fbb340d52678806f4620743b43e17b88ffb1cb215a7ec51aaa63803f,2026-09-24T00:26:56Z,dados/fontes_web/doi/10.1093_ectj_utac017.json
doi:10.1093/ije/dyl129,https://api.crossref.org/works/10.1093/ije/dyl129,200,application/json,3306,3c7e352fcaa59e1f9ac146c0d8acefc2bc10958d2671fbcf8fbea17ddcaa9dc9,2026-09-24T00:43:01Z,dados/fontes_web/doi/10.1093_ije_dyl129.json
doi:10.1093/restud/rdad018,https://api.crossref.org/works/10.1093/restud/rdad018,200,application/json,3463,a6922d8b5f7d348bf0dd44ce59da7c9c110efe573f3ca31db3ce20c01bc3366f,2026-09-24T00:26:57Z,dados/fontes_web/doi/10.1093_restud_rdad018.json
doi:10.1093/restud/rdae007,https://api.crossref.org/works/10.1093/restud/rdae007,200,application/json,3814,3de19a65bf59e546bee21231db5b83c6ca957c231da62f27e78df71b7b24a155,2026-09-24T00:26:58Z,dados/fontes_web/doi/10.1093_restud_rdae007.json
doi:10.1108/AFR-10-2018-0087,https://api.crossref.org/works/10.1108/AFR-10-2018-0087,200,application/json,5923,ecd9b2d4a57b7b981aea89e2bbec586e9022c288dd73fe2d029a199b09b76294,2026-09-24T00:26:59Z,dados/fontes_web/doi/10.1108_afr-10-2018-0087.json
doi:10.1111/ajps.12116,https://api.crossref.org/works/10.1111/ajps.12116,200,application/json,2440,af593cafb3e0c065192ce145e44acc01245fbe00f8181b352f90355ad01f6b5b,2026-09-24T00:27:00Z,dados/fontes_web/doi/10.1111_ajps.12116.json
doi:10.1111/coep.12443,https://api.crossref.org/works/10.1111/coep.12443,200,application/json,2993,717d34c3990c54cf156d6b50cbb11c433d05e60200cc1d0865733d83522e5400,2026-09-24T00:27:01Z,dados/fontes_web/doi/10.1111_coep.12443.json
doi:10.1111/ectj.12107,https://api.crossref.org/works/10.1111/ectj.12107,200,application/json,2168,beac627f950110b013ac57c1a19803225d58dd19fc48a9fb6d8d7d2893576c61,2026-09-24T00:27:01Z,dados/fontes_web/doi/10.1111_ectj.12107.json
doi:10.1111/j.0275-1100.2004.02402006.x,https://api.crossref.org/works/10.1111/j.0275-1100.2004.02402006.x,200,application/json,3326,371dd22a93b083f65c1ed2578c714ce63a023065c61750a38513b34e9b7b248b,2026-09-24T00:27:02Z,dados/fontes_web/doi/10.1111_j.0275-1100.2004.02402006.x.json
doi:10.1111/j.1467-6419.2007.00527.x,https://api.crossref.org/works/10.1111/j.1467-6419.2007.00527.x,200,application/json,4041,f3591b41f3c6fe6a1ea1cbd8dea230f6e620edaa73b2426834cf8a189d7113d7,2026-09-24T00:27:03Z,dados/fontes_web/doi/10.1111_j.1467-6419.2007.00527.x.json
doi:10.1111/j.1467-8292.2007.00329.x,https://api.crossref.org/works/10.1111/j.1467-8292.2007.00329.x,200,application/json,3281,321e9ab994b18dd1ef9ee3010d829dbeee2b021ddc400eeebe6aba4e61ff2c21,2026-09-24T00:27:04Z,dados/fontes_web/doi/10.1111_j.1467-8292.2007.00329.x.json
